    cometNumberAndOrbitType year month day perihelionDistancePD eccentricityE orbitalPeriodAndPerihelionW longitudeL inclinationI epochDate magnitudeMag slopeParameter namePart1 namePart2 namePart3 reference
    PK09Q010  2022 05 24.9106  2.792577  0.494039  157.1169  173.9469   14.4999  20190228  11.5  4.0  P/2009 Q1 (Hill)                                         MPC_75710
    PK09Q040  2020 12 27.3527  1.309800  0.581654  320.1198  127.4719   11.0015  20190228  15.5  4.0  P/2009 Q4 (Boattini)                                     MPC112389
    PK09Q050  2009 08 28.9600  2.923246  0.607328  209.0595  160.2110   40.9147  20190228  10.0  4.0  P/2009 Q5 (McNaught)                                     MPC_68902
    CK09R010  2010 07  1.3084  0.415056  1.000376  130.8368  322.9953   76.8135  20190228   8.0  4.0  C/2009 R1 (McNaught)                                     MPC_82315
    CK09S030  2011 12 11.7054  6.454162  0.999011  129.6349  225.1670   60.4502  20190228   6.5  4.0  C/2009 S3 (Lemmon)                                       MPC_87062
    PK09SS0K  2019 10 23.7780  4.208805  0.119489  327.9455   36.4146   16.7998  20190228  11.0  4.0  P/2009 SK280 (Spacewatch-Hill)                           MPC_78184
    CK09T010  2009 10 10.2228  6.213044  0.994642  282.5475   54.4680   90.0424  20190228   6.5  4.0  C/2009 T1 (McNaught)                                     MPC_76567
    PK09T020  2009 12 31.7209  1.818642  0.764654  216.5474  215.7211   27.4992  20190228  14.0  4.0  P/2009 T2 (La-Sagra)                                     MPC112389
    CK09T030  2010 01 10.5114  2.265887  0.999042   32.3390   60.1751  148.5835  20190228  12.5  4.0  C/2009 T3 (LINEAR)                                       MPC_82315
    CK09U030  2010 03 16.6055  1.430987  0.991852   78.0208   49.0794   51.0688  20190228  13.0  4.0  C/2009 U3 (Hill)                                         MPC_70812
    PK09U040  2021 02  1.3234  1.647602  0.675582  259.8357   55.3657   10.0810  20190228  14.0  4.0  P/2009 U4 (McNaught)                                     MPC_75711
    CK09U050  2010 06 21.0657  6.135074  1.003461   24.2272  121.0929   25.4257  20190228   7.0  4.0  C/2009 U5 (Grauer)                                       MPC_82315
    CK09U89G  2010 12 11.7175  3.948349  1.005439   60.7039  321.0655  130.2114  20190228   9.0  4.0  C/2009 UG89 (Lemmon)                                     MPC_82315
    CK09W020  2010 05  6.9262  6.895477  0.998692  121.4881  199.5907  164.4981  20190228   7.0  4.0  C/2009 W2 (Boattini)                                     MPC_72851
    PK09W51X  2020 11 16.3550  0.799181  0.740303  118.1081   31.6776    9.5985  20190228  19.0  2.0  P/2009 WX51 (Catalina)                                   MPC105235
    CK09Y010  2011 01 29.8132  2.498382  0.992590  127.0891  160.1605  107.3277  20190228   9.0  4.0  C/2009 Y1 (Catalina)                                     MPC_82316
    PK09Y020  2026 12 10.7541  2.383418  0.635838  172.3075  262.0236   29.9379  20190228  13.0  4.0  P/2009 Y2 (Kowalski)                                     MPC_74247
    PK10A030  2025 03 18.2450  1.626284  0.732229   41.5391   64.5594   14.9478  20190228  14.0  4.0  P/2010 A3 (Hill)                                         MPC_75711
    CK10A040  2010 10 11.7187  2.719223  0.990507  271.5456  346.6090   96.6809  20190228  12.5  4.0  C/2010 A4 (Siding-Spring)                                MPC_77403
    PK10A050  2021 10 17.0962  1.702073  0.665418  307.0661  277.6679    5.7975  20190228  13.0  4.0  P/2010 A5 (LINEAR)                                       MPC_72851
    CK10B010  2011 02  6.5609  2.941737  0.999522  211.6028  277.2900  101.7354  20190228   7.5  4.0  C/2010 B1 (Cardinal)                                     MPC111766
    PK10B020  2020 12  4.5369  1.616024  0.480148  155.9655    0.8619    8.9337  20190228  17.0  4.0  P/2010 B2 (WISE)                                         MPC105235
    PK10C010  2009 11 28.1146  5.257666  0.259235    4.0272  141.8903    9.1324  20190228   9.5  4.0  P/2010 C1 (Scotti)                                       MPC_75008
    PK10D020  2027 07 19.7406  3.689175  0.450539  120.2586  319.8729   57.0969  20190228  16.0  4.0  P/2010 D2 (WISE)                                         MPC_75008
    CK10D030  2010 09  2.1678  4.259567  1.000063  304.7357  255.0448   76.3076  20190228   9.0  4.0  C/2010 D3 (WISE)                                         MPC112389
    CK10D040  2009 03 28.3259  7.159478  0.886038   44.4529  266.7268  105.8072  20190228   6.5  4.0  C/2010 D4 (WISE)                                         MPC_76025
    CK10D56G  2010 05 15.3431  1.573355  0.976414  318.2146    4.0351  160.4221  20190228  16.0  4.0  C/2010 DG56 (WISE)                                       MPC_74248
    CK10E010  2009 11  3.1840  2.689495  0.975958  297.2015  169.3127   71.6380  20190228  11.5  4.0  C/2010 E1 (Garradd)                                      MPC_70361
    PK10E020  2010 04  9.3750  2.402422  0.721669    8.3540  177.8208   15.4451  20190228  14.0  4.0  P/2010 E2 (Jarnac)                                       MPC_75009
    CK10E050  2009 11 18.8021  3.916211  0.843290  148.1170   16.9744   18.9039  20190228  10.5  4.0  C/2010 E5 (Scotti)                                       MPC_70361
    CK10F010  2009 11  6.2525  3.618993  0.947773  127.7458  344.4351   64.8758  20190228   9.5  4.0  C/2010 F1 (Boattini)                                     MPC_72132
    CK10F030  2010 08  4.4120  5.474636  0.915145   31.5259  157.3543    4.6448  20190228   8.5  4.0  C/2010 F3 (Scotti)                                       MPC_82316
    CK10F87B  2010 11  6.8291  2.846657  0.987609  265.0659   90.0740  107.8999  20190228  10.0  4.0  C/2010 FB87 (WISE-Garradd)                               MPC_82316
    CK10G010  2010 03 31.9239  1.214114  0.997576  168.7477  287.6908   78.0505  20190228  12.5  4.0  C/2010 G1 (Boattini)                                     MPC_70816
    CK10G020  2011 09  2.9447  1.968111  0.978782  137.3254  247.0610  103.7510  20190228   8.0  4.0  C/2010 G2 (Hill)                                         MPC_83142
    CK10G030  2010 04  6.8645  4.923970  0.995192   75.2483  313.7995  108.3970  20190228   8.5  4.0  C/2010 G3 (WISE)                                         MPC_75292
    CK10H010  2010 06 21.3328  2.745880  0.999526  233.8775  347.3221   36.4908  20190228  13.0  4.0  C/2010 H1 (Garradd)                                      MPC_82316
    PK10H020  2017 09 11.8300  3.090887  0.195365  128.7188   64.2420   14.2749  20190228   6.0  4.0  P/2010 H2 (Vales)                                        MPC_72851
